                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.75108,                 1.1388,                0.90299,                0.95983,                0.98375,                0.98437,                0.87626,                0.48128,                0.47821,                 0.8316,                0.07007,              0.0033255,              0.0033255
                      1,                0.68139,                0.59557,                 0.8842,                0.97785,                 0.9815,                0.99339,                0.85875,                0.51776,                0.41841,                0.84695,               0.039806,              0.0063952,              0.0063952
                      2,                0.70904,                0.57822,                0.89544,                0.96971,                0.98115,                0.99351,                0.86234,                0.53565,                0.46433,                0.85025,              0.0092787,              0.0092008,              0.0092008
                      3,                0.69095,                 0.5469,                0.89433,                0.98315,                0.98352,                0.99308,                0.88121,                0.47686,                0.37627,                0.84185,               0.008812,               0.008812,               0.008812
                      4,                0.65159,                0.49457,                0.88616,                0.97972,                0.97889,                0.99107,                0.89038,                0.45887,                0.39751,                0.83894,               0.008812,               0.008812,               0.008812
                      5,                 0.6145,                0.45623,                0.87509,                0.97729,                0.97528,                 0.9933,                0.87773,                0.52821,                0.35675,                0.84661,               0.008416,               0.008416,               0.008416
                      6,                0.58851,                 0.4281,                0.87118,                0.97881,                0.97796,                0.99358,                0.89158,                0.49137,                0.35265,                0.83915,                0.00802,                0.00802,                0.00802
                      7,                0.56048,                0.40829,                0.86489,                0.98468,                0.98816,                0.99408,                0.89149,                 0.4774,                0.33217,                 0.8357,               0.007624,               0.007624,               0.007624
                      8,                0.54551,                0.39276,                0.86041,                0.98432,                0.99392,                0.99457,                0.90492,                0.43264,                0.29327,                0.83076,               0.007228,               0.007228,               0.007228
                      9,                0.53299,                0.38203,                0.86066,                0.95393,                0.97143,                0.98958,                0.89735,                0.45933,                0.32625,                0.83014,               0.006832,               0.006832,               0.006832
                     10,                0.51934,                0.36919,                  0.854,                0.98361,                0.99333,                0.99476,                0.89599,                0.45562,                0.27706,                0.83089,               0.006436,               0.006436,               0.006436
                     11,                0.50536,                0.35868,                0.85053,                0.98824,                0.98541,                0.99456,                0.91885,                0.39966,                0.26639,                0.81997,                0.00604,                0.00604,                0.00604
                     12,                0.49612,                0.35251,                0.85127,                 0.9841,                0.99129,                0.99406,                 0.9053,                0.41723,                0.25911,                 0.8243,               0.005644,               0.005644,               0.005644
                     13,                0.48509,                0.34076,                0.84758,                0.98378,                0.99469,                0.99469,                0.91323,                0.42926,                0.25449,                 0.8225,               0.005248,               0.005248,               0.005248
                     14,                0.47609,                0.33239,                0.84543,                 0.9847,                0.99391,                0.99362,                0.91209,                0.41423,                0.24802,                0.82329,               0.004852,               0.004852,               0.004852
                     15,                 0.4339,                0.30449,                0.83509,                0.98858,                0.99092,                0.99457,                0.91847,                0.40554,                0.25045,                0.81835,               0.004456,               0.004456,               0.004456
                     16,                0.42194,                0.29856,                0.83231,                0.98474,                0.99265,                 0.9946,                0.90099,                  0.468,                 0.2646,                0.82868,                0.00406,                0.00406,                0.00406
                     17,                0.40976,                0.28971,                0.82954,                0.98601,                0.99132,                0.99457,                0.90018,                0.46489,                0.25616,                0.83085,               0.003664,               0.003664,               0.003664
                     18,                0.39863,                0.28103,                0.82729,                0.98891,                 0.9923,                0.99469,                0.90613,                0.45893,                0.24865,                0.82693,               0.003268,               0.003268,               0.003268
                     19,                0.38789,                0.27327,                0.82389,                0.98614,                0.99415,                0.99464,                0.90262,                 0.4421,                0.24087,                0.82424,               0.002872,               0.002872,               0.002872
                     20,                 0.3751,                0.26346,                0.82073,                0.98499,                0.99255,                0.99465,                0.91324,                0.42077,                0.23393,                0.81831,               0.002476,               0.002476,               0.002476
                     21,                0.36746,                0.25694,                0.82123,                0.97727,                0.99171,                0.99463,                0.91571,                0.41057,                0.22999,                0.81688,                0.00208,                0.00208,                0.00208
                     22,                0.34965,                0.24341,                0.81508,                 0.9883,                0.99403,                0.99462,                0.90562,                0.42595,                0.22394,                0.82112,               0.001684,               0.001684,               0.001684
                     23,                 0.3441,                0.23903,                 0.8119,                0.98846,                0.99371,                0.99456,                0.90219,                0.44146,                0.22595,                0.82232,               0.001288,               0.001288,               0.001288
                     24,                0.33083,                0.22965,                0.80935,                0.98755,                0.99167,                 0.9946,                0.91015,                0.41515,                0.21627,                0.81722,               0.000892,               0.000892,               0.000892
